course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
608436,Présentation du Banjo Ténor,https://www.udemy.com/presentation-du-banjo-tenor/,True,20,18,4,31,Beginner Level,1.5,2015-09-13T23:49:34Z,Musical Instruments
634480,Typographic Poster Design - From Sketch to Vector,https://www.udemy.com/typographic-poster-design-from-sketch-to-vector/,True,45,36,5,20,Intermediate Level,1.5,2015-10-08T17:21:31Z,Graphic Design
994362,Critical Web Dev Skills & Tools for the Non-Tech Hustler,https://www.udemy.com/critical-web-dev-skills-tools-for-the-non-tech-hustler/,False,0,3118,8,33,All Levels,1.5,2016-12-20T22:39:30Z,Web Development
639848,PHP Graphic Techniques: CAPTCHA/ Create a verification code,https://www.udemy.com/php-graphic-techniques-captcha-watermark-crop-thumbnail/,True,20,8320,73,11,All Levels,0.7166666666666667,2015-10-14T18:16:51Z,Web Development
206592,:::Beginners Guide To Creating Amazing Images with Canva:::,https://www.udemy.com/beginners-guide-to-creating-amazing-images-with-canva/,True,25,72,5,17,Beginner Level,1.0,2014-04-29T19:50:31Z,Graphic Design
999262,Forex online live trading system (Special Offer),https://www.udemy.com/forex-trading-i-will-show-you-how-to-get-profit/,True,200,31,8,34,All Levels,5.5,2016-11-07T14:51:41Z,Business Finance
1076244,Practical Guitar Theory: Level 1,https://www.udemy.com/practical-guitar-theory-level-1/,True,60,14,3,41,All Levels,1.5,2017-05-01T21:04:16Z,Musical Instruments
641236,Basic JavaScript: Build 4 Basic JavaScript Projects,https://www.udemy.com/practical-javascript-javascript-basics/,True,40,670,33,37,Beginner Level,4.5,2016-02-04T03:55:24Z,Web Development
196234,Easy Piano - learn and play along,https://www.udemy.com/easy-piano-learn-and-play-along/,True,20,11,1,48,Beginner Level,1.0,2014-05-14T01:21:57Z,Musical Instruments
862786,Financial modeling: Build a multiples valuation model,https://www.udemy.com/how-to-do-a-multiples-based-valuation-of-a-company/,True,20,656,17,20,All Levels,1.5,2016-05-30T18:00:22Z,Business Finance
787686,Bluegrass Guitar Essentials: Webisodes 1 & 2,https://www.udemy.com/bluegrass-guitar-essentials-webisodes-1-2/,False,0,970,14,9,Intermediate Level,1.0,2016-03-20T19:36:03Z,Musical Instruments
892446,Visualizing Data,https://www.udemy.com/visualizing-data/,True,40,149,2,63,Intermediate Level,6.5,2016-07-22T13:09:03Z,Business Finance
1034080,The Circle of Fifths for Guitarists,https://www.udemy.com/the-circle-of-fifths-for-guitar/,True,50,1018,2,5,Intermediate Level,1.5,2016-12-15T21:57:42Z,Musical Instruments
882128,The Complete JavaScript Bootcamp,https://www.udemy.com/the-complete-javascript-bootcamp/,True,195,1839,91,47,All Levels,5.0,2016-06-20T16:56:06Z,Web Development
